GENUS;SPECIES;ORDER;FAMILY;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Acanthodes;gracilis;Acanthodiiformes;Acanthodidae;Y;Permian;Asselian;298,9;Asselian;293,52;296,21;N;Olešnice;Rotliegend;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodes;gracilis;Acanthodiiformes;Acanthodidae;Y;Permian;Asselian;298,9;Asselian;293,52;296,21;N;Rudnik v Krkonosich;Vrchlabí;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodes;gracilis;Acanthodiiformes;Acanthodidae;Y;Permian;Asselian;298,9;Asselian;293,52;296,21;N;Hermanovy Sejfy;Vrchlabí;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodes;kinneyi;Acanthodiiformes;Acanthodidae;N;Carboniferous;Kasimovian;307;Gzhelian;298,9;302,95;N;Kinney Brick Company Quarry;Wild Cow;North America;X;X;X;;N;0;1;0;0;0;0;0;N;N;NA
Acanthodes;lopatini;Acanthodiiformes;Acanthodidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Medvedskoe village;Lower Os'kin;Asia;X;X;X;;N;0;1;1;1;0;0;0;N;N;NA
Acanthodes;lundi;Acanthodiiformes;Acanthodidae;N;Carboniferous;Visean;346,7;Bashkirian;315,2;330,95;N;Heath A Quarry;Heath;North America;X;X;X;;N;0;0;1;1;1;0;0;N;N;NA
Acanthodes;lundi;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Visean;346,7;Bashkirian;315,2;330,95;N;Supercrop Quarry;Heath;North America;X;X;X;;N;0;0;1;1;1;0;0;N;N;NA
Acanthodes;lundi;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Visean;346,7;Bashkirian;315,2;330,95;N;Vacation Crop;Heath;North America;X;X;X;;N;0;0;1;1;1;0;0;N;N;NA
Acanthodes;marshi;Acanthodiiformes;Acanthodidae;N;Carboniferous;Moscovian;315,2;Moscovian;307;311,1;N;Pit 11, Peabody Coal Company;Carbondale;North America;X;X;X;;N;0;1;0;0;0;0;0;N;N;NA
Acanthodes;nitidus;Acanthodiiformes;Acanthodidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Glencartholm;Calciferous Sandstones;Europe;X;X;X;;N;0;1;0;0;0;0;0;N;N;NA
Acanthodes;nitidus;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Eskdale;Calciferous Sandstones;Europe;X;X;X;;N;0;1;0;0;0;0;0;N;N;NA
Acanthodes;ovensi;Acanthodiiformes;Acanthodidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Crooked Burn;Cementstones Group;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodes;sp.;Acanthodiiformes;Acanthodidae;N;Carboniferous;Tournaisian;358,9;Visean;330,9;344,9;Y;Eskdale;Calciferous Sandstones;Europe;Africa;Australia and Oceania;X;;N/S;1;1;0;0;0;0;0;N;N;NA
Acanthodes;sp.;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Tournaisian;359,9;Visean;330,9;344,9;Y;Strydomsvlei;;Australia and Oceania;X;X;X;;N/S;1;1;0;0;0;0;0;N;N;NA
Acanthodes;sp.;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Tournaisian;360,9;Visean;330,9;344,9;Y;Mansfield;;Africa;X;X;X;;N/S;1;1;0;0;0;0;0;N;N;NA
Acanthodes;sp.;Acanthodiiformes;Acanthodidae;N;C - P;Gzhelian;303,7;Asselian;293,52;298,61;Y;Lebach;Meisenheim;Europe;X;X;X;;N;0;1;0;0;0;0;0;N;N;NA
Acanthodes;sulcatus;Acanthodiiformes;Acanthodidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Pentland Oil Works;Dunnet Shale;Europe;X;X;X;;N;1;1;1;0;0;0;0;N;N;NA
Acanthodes;sulcatus;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Wardie B;Wardie Shales;Europe;X;X;X;;N;1;1;1;0;0;0;0;N;N;NA
Acanthodes;sulcatus;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Straiton;Dunnet Shale;Europe;X;X;X;;N;1;1;1;0;0;0;0;N;N;NA
Acanthodes ;wardi;Acanthodiiformes;Acanthodidae;N;Carboniferous;Bashkirian;323,2;Moscovian;307;315,1;N;Longton;Deep Mine Ironstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodes ;wardi;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Bashkirian;323,2;Moscovian;307;315,1;N;Trawden;Soapstone Bed;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodopsis;egertoni;Acanthodiiformes;Acanthodidae;N;Carboniferous;Moscovian;315,2;Moscovian;307;311,1;N;Newcastle;Coal Measures;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodopsis;microdon;Acanthodiiformes;Acanthodidae;N;Carboniferous;Bashkirian;323,2;Moscovian;307;315,1;N;Foxfield Colliery;Coal Measures;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodopsis;microdon;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Bashkirian;323,2;Moscovian;307;315,1;N;Cheadle coalfield;Woodhead Coal;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodopsis;sp.;Acanthodiiformes;Acanthodidae;N;Carboniferous;Serpukhovian;330,9;Moscovian;307;318,95;N;Loanhead;;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodopsis;sp.;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Serpukhovian;330,9;Moscovian;307;318,95;N;Newsham;Coal Measures;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodopsis;sp.;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Serpukhovian;330,9;Moscovian;307;318,95;N;Fenton;Knowles Ironstone Shale;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodopsis;wardi;Acanthodiiformes;Acanthodidae;N;Carboniferous;Serpukhovian;330,9;Moscovian;307;318,95;N;Longton;Deep Mine Ironstone;Europe;X;X;X;;N;1;1;0;0;0;0;0;N;N;NA
Acanthodopsis;wardi;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Serpukhovian;330,9;Moscovian;307;318,95;N;Smeaton;Coal Measures;Europe;X;X;X;;N;1;1;0;0;0;0;0;N;N;NA
Acanthodopsis;wardi;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Serpukhovian;330,9;Moscovian;307;318,95;N;Newsham;Coal Measures;Europe;X;X;X;;N;1;1;0;0;0;0;0;N;N;NA
Acanthodopsis;wardi;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Serpukhovian;330,9;Moscovian;307;318,95;N;Newcastle;Coal Measures;Europe;X;X;X;;N;1;1;0;0;0;0;0;N;N;NA
Acanthodopsis;wardi;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Serpukhovian;330,9;Moscovian;307;318,95;N;Newarthill;Virtuewell Coal Seam;Europe;X;X;X;;N;1;1;0;0;0;0;0;N;N;NA
Acanthodopsis;wardi;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Serpukhovian;330,9;Moscovian;307;318,95;N;Low Moor;Better Bed Coal;Europe;X;X;X;;N;1;1;0;0;0;0;0;N;N;NA
Pseudacanthodes;pinnatus;Acanthodiiformes;Acanthodidae;N;Carboniferous;Moscovian;315,2;Moscovian;307;311,1;N;Tremosna;Gaskohle;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Traquairichthys;pygmaeus;Acanthodiiformes;Acanthodidae;N;Carboniferous;Moscovian;315,2;Moscovian;307;311,1;N;Humboldt-Schacht;Gaskohle;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Utahacanthus;guntheri;Acanthodiiformes;Acanthodidae;N;Carboniferous;Bashkirian;323,2;Bashkirian;315,2;317,2;N;Lehi;Manning Canyon;North America;X;X;X;;N;1;1;1;0;0;0;0;N;N;NA
Cheiracanthus;brevicostatus;Acanthodiiformes;Cheiracanthidae;N;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Karksi outcrop;;Europe;X;X;X;;N;NA;NA;NA;NA;NA;NA;NA;Y;N;NA
Cheiracanthus;costellatus?;Acanthodiiformes;Cheiracanthidae;N;Devonian;Emsian;407,6;Emsian;393,3;400,45;N;Campbellton;Atholville beds;North America;X;X;X;;N;0;1;0;0;0;0;0;N;N;NA
Cheiracanthus;crassus;Acanthodiiformes;Cheiracanthidae;N;Devonian;Eifelian;393,3;Eifelian;387,7;390,5;N;Eividovichi-328 borehole;Osveya Beds of the Western Dvina Formation;Europe;X;X;X;;N;0;1;0;0;0;0;0;Y;N;NA
Cheiracanthus;crassus;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Eifelian;387,7;390,5;N;Vilchitsy-1 borehole;;Europe;X;X;X;;N;0;1;0;0;0;0;0;Y;N;NA
Cheiracanthus;crassus;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Eifelian;387,7;390,5;N;Lyozno-1 borehole;;Europe;X;X;X;;N;0;1;0;0;0;0;0;Y;N;NA
Cheiracanthus;crassus;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Eifelian;387,7;390,5;N;Kuptcheli-325 borehole;;Europe;X;X;X;;N;0;1;0;0;0;0;0;Y;N;NA
Cheiracanthus;flabellicostatus;Acanthodiiformes;Cheiracanthidae;N;Devonian;Givetian;387,7;Givetian;382,7;385,2;N;Siverskii;Aruküla Regional Stage;Europe;X;X;X;;N;1;0;0;0;0;0;0;Y;N;NA
Cheiracanthus;flabellicostatus;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Givetian;387,7;Givetian;382,7;385,2;N;Zaitsevo;Aruküla Regional Stage;Europe;X;X;X;;N;1;0;0;0;0;0;0;Y;N;NA
Cheiracanthus;gibbosus;Acanthodiiformes;Cheiracanthidae;N;Devonian;Emsian;407,6;Eifelian;387,7;397,65;N;Braslav-8 borehole;Vitebsk horizon;Europe;X;X;X;;N;1;1;0;0;0;0;0;Y;N;NA
Cheiracanthus;gibbosus;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Emsian;407,6;Eifelian;387,7;397,65;N;Ludza-15 borehole;Rezekne horizon;Europe;X;X;X;;N;1;1;0;0;0;0;0;Y;N;NA
Cheiracanthus;gibbosus;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Emsian;407,6;Eifelian;387,7;397,65;N;Cherikov-1 borehole;Vitebsk horizon;Europe;X;X;X;;N;1;1;0;0;0;0;0;Y;N;NA
Cheiracanthus;grandispinus;Acanthodiiformes;Cheiracanthidae;N;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Achanarras;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Cheiracanthus;intricatus;Acanthodiiformes;Cheiracanthidae;N;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Estheriahaugen;Tordalen;Europe;X;X;X;;N;1;1;0;0;0;0;0;N;N;NA
Cheiracanthus;intricatus;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Dvoriki-2 borehole;Kernave;Europe;X;X;X;;N;1;1;0;0;0;0;0;N;N;NA
Cheiracanthus;intricatus;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Saravai-427 borehole;Kernave;Europe;X;X;X;;N;1;1;0;0;0;0;0;N;N;NA
Cheiracanthus;krucheki;Acanthodiiformes;Cheiracanthidae;N;Devonian;Emsian;407,6;Eifelian;387,7;397,65;N;Cherikov-1 borehole;Vitebsk horizon;Europe;X;X;X;;N;0;1;0;0;0;0;0;Y;N;NA
Cheiracanthus;latus;Acanthodiiformes;Cheiracanthidae;N;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Tynet Burn;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Cheiracanthus;latus;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Den of Findon;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Cheiracanthus;longicostatus;Acanthodiiformes;Cheiracanthidae;N;Devonian;Eifelian;393,3;Eifelian;387,7;390,5;N;Estonia;Narova Stage;Europe;X;X;X;;N;NA;NA;NA;NA;NA;NA;NA;Y;N;NA
Cheiracanthus;microlepidotus;Acanthodiiformes;Cheiracanthidae;N;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Lethen Bar;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Cheiracanthus;microlepidotus;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Banffshire;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Cheiracanthus;murchisoni;Acanthodiiformes;Cheiracanthidae;N;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Den of Findon;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Cheiracanthus;murchisoni;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Cromarty;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Cheiracanthus;murchisoni;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Tynet Burn;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Cheiracanthus;murchisoni;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Achanarras;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Cheiracanthus;peachi;Acanthodiiformes;Cheiracanthidae;N;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Button Geo;Mey Flagstone;Europe;X;X;X;;N;1;1;1;0;0;0;0;N;N;NA
Cheiracanthus;peachi;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Sacquoy Head;Mey Flagstone;Europe;X;X;X;;N;1;1;1;0;0;0;0;N;N;NA
Cheiracanthus;peachi;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;N;East Mey;Mey Flagstone;Europe;X;X;X;;N;1;1;1;0;0;0;0;N;N;NA
Cheiracanthus;peachi;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;N;Orsha-2 borehole;Kostiukovichy;Europe;X;X;X;;N;1;1;1;0;0;0;0;N;N;NA
Cheiracanthus;sp.;Acanthodiiformes;Cheiracanthidae;N;Devonian;Eifelian;393,3;Givetian;382,7;388;?;Den of Findon;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Cheiracanthus;sp.;Acanthodiiformes;Cheiracanthidae;Y;Devonian;Eifelian;393,3;Givetian;382,7;388;?;Stromness;Middle Old Red Sandstone;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
