GENUS;SPECIES;ORDER;FAMILY;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Wellerodus;priscus;Antarctilamniformes;Antarctilamnidae;N;Devonian;Eifelian;393,3;Frasnian;372,2;382,75;N;Cairo quarry;;North America;X;X;X;X;N;1;1;0;0;1;1;0;N;N;N
Wellerodus;priscus;Antarctilamniformes;Antarctilamnidae;N;Devonian;Eifelian;393,3;Frasnian;372,2;382,75;N;Eighteen Mile Creek;North Evans Limestone;North America;X;X;X;X;N;1;1;0;0;1;1;0;N;N;N
Wellerodus;priscus;Antarctilamniformes;Antarctilamnidae;N;Devonian;Eifelian;393,3;Frasnian;372,2;382,75;N;Elmhurst;;North America;X;X;X;X;N;1;1;0;0;1;1;0;N;N;N
Coronodus;reimanni;Antarctilamniformes;Coronodontidae;N;Devonian;Givetian;387,7;Frasnian;372,2;379,95;N;Athol Springs;Genesee;North America;X;X;X;X;N;0;0;0;0;0;1;1;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;N;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Baylor Co.;Lueders;North America;X;X;X;X;N;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Wolf Creek;Lueders;North America;X;X;X;X;N;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Spring Creek;Lueders;North America;X;X;X;X;N;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;West Franklin Bend;Lueders;North America;X;X;X;X;N;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Jefferson County;Dunkard Basin;North America;X;X;X;X;N;1;1;0;0;0;0;0;N;N;Y
Bransonella;cf. nebraskensis;Bransonelliformes;Incertae familiae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Shahmirzad village;Mobarak;Asia;X;X;X;X;N;0;0;0;1;1;0;0;N;N;Y
Bransonella;lingulata;Bransonelliformes;Incertae familiae;N;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;Y;Kalinovskie Vyselki Quarry;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Bransonella;lingulata;Bransonelliformes;Incertae familiae;N;Carboniferous;Moscovian;315,2;Moscovian;307;311,1;Y;Buckhorn Asphalt Quarry;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Bransonella;nebraskensis;Bransonelliformes;Incertae familiae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;Y;Kozhim River;;Europe;Asia;X;X;X;N;0;0;0;0;0;1;1;N;N;Y
Bransonella;nebraskensis;Bransonelliformes;Incertae familiae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;Y;Todowa Grzaba;;Europe;Asia;X;X;X;N;0;0;0;0;0;1;1;N;N;Y
Bransonella;nebraskensis;Bransonelliformes;Incertae familiae;N;Carboniferous;Gzhelian;303,7;Gzhelian;298,9;301,3;Y;Nemaha County;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Bransonella;sp.;Bransonelliformes;Incertae familiae;N;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Lake Arbuckle;Caney Shale;North America;Asia;X;X;X;N;0;0;0;0;0;1;1;N;N;N
Bransonella;sp.;Bransonelliformes;Incertae familiae;Y;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Medynskaya-5 borehole;;North America;Asia;X;X;X;N;0;0;0;0;0;1;1;N;N;N
Bransonella;tridentata;Bransonelliformes;Incertae familiae;N;Carboniferous;Bashkirian;323,2;Bashkirian;315,2;319,2;N;Ouachita Mountains;Johns Valley shale;North America;X;X;X;X;N;0;0;0;0;0;0;1;N;N;Y
Similihariotta;dabasinskasi;Chimaeriformes;Chimaeridae;N;Carboniferous;Moscovian ;315,2;Moscovian ;307;311,1;N;Pit 11, Peabody Coal Company;Carbondale;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;N
Echinochimaera;elusiva;Chimaeriformes;Echinochimaeridae;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;Y
Echinochimaera;indiana;Chimaeriformes;Echinochimaeridae;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;Y
Echinochimaera;kellyi;Chimaeriformes;Echinochimaeridae;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;Y
Echinochimaera;meltoni;Chimaeriformes;Echinochimaeridae;N;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;N;Supercrop Quarry;Heath;North America;X;X;X;X;N;0;0;1;1;1;0;0;N;N;N
Echinochimaera;sulphurea;Chimaeriformes;Echinochimaeridae;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;Y
Eucentrurus;paradoxus;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Ardross;Calciferous Sandstone Series;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;N
Harpagofututor;volsellorhinus;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;N;Supercrop Quarry;Heath;North America;X;X;X;X;N;0;0;1;1;1;0;0;N;N;N
Harpagofututor;volsellorhinus;Chondrenchelyiformes;Chondrenchelyidae;Y;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;N;Three Pillars Quarry;Heath;North America;X;X;X;X;N;0;0;1;1;1;0;0;N;N;N
Platyxystrodus;alatus;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Visé;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;angustus;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Platyxystrodus;bellulus;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Kasimovian;307;Kasimovian;303,7;305,35;N;Danville;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;egertoni;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Bristol;;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Platyxystrodus;imitatus;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Illinois;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Platyxystrodus;inconditus;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Illinois and Iowa;Keokuk Limestone;North America;X;X;X;X;N;0;0;0;1;1;1;1;N;N;Y
Platyxystrodus;occidentalis;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Bashkirian;323,2;Gzhelian;298,9;311,05;N;Nebraska;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;parkeri;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Derbyshire;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;pulchellus;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Wensleydale;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;simplex;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Illinois;Burlington limestone;North America;X;X;X;X;N;0;0;1;1;0;0;0;N;N;Y
Platyxystrodus;striatus;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Platyxystrodus;verus;Chondrenchelyiformes;Chondrenchelyidae;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Illinois;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;N;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Berea;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Lindale;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Cleveland;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Big Creek;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Brooklyn;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;sp.;Cladoselachiiformes;Cladoselachidae;N;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Bedford;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;sp.;Cladoselachiiformes;Cladoselachidae;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Sheffield Township;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Chitonodus;antiquus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Burlington;Burlington limestone;North America;X;X;X;X;N;0;0;1;1;0;0;0;N;N;Y
Chitonodus;gibbus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Bashkirian;315,2;330,95;N;Wensleydale;Yoredale Series;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Chitonodus;livatus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Alton;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Chitonodus;springeri;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Iowa;Burlington limestone;North America;X;X;X;X;N;0;0;1;1;0;0;0;N;N;Y
Chitonodus;tribulis;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Iowa;Keokuk Limestone;North America;X;X;X;X;N;0;0;0;1;1;1;1;N;N;Y
Cochliodus;angustus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Gzhelian;303,7;Gzhelian;298,9;301,3;N;Nebraska;Wabaunsee;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;colei;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Cochliodus;contortus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;N
Cochliodus;contortus;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Bristol;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;N
Cochliodus;costatus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Iowa;Burlington limestone;North America;X;X;X;X;N;0;0;1;1;0;0;0;N;N;Y
Cochliodus;egertoni;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Bristol;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Cochliodus;laminaris;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Moscovian ;315,2;Moscovian ;307;311,1;N;Myachkovo;Carboniferous Limestone;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;latus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Keokuk;Keokuk Limestone;North America;X;X;X;X;N;0;0;0;1;1;1;1;N;N;Y
Cochliodus;latus;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Des Moins Rapids;Keokuk Limestone;North America;X;X;X;X;N;0;0;0;1;1;1;1;N;N;Y
Cochliodus;latus;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Warsaw;Keokuk Limestone;North America;X;X;X;X;N;0;0;0;1;1;1;1;N;N;Y
Cochliodus;leidyi;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Chester;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;liratus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;St. Louis;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Cochliodus;minimus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Smiths Branch;Chouteau Limestone;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;Y
Cochliodus;obliquus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Missouri;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Cochliodus;oblongus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Cochliodus;occidentalis;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Illinois;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Cochliodus;sancti-ludovici;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Kavanaugh's Quarry;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Cochliodus;sancti-ludovici;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Alton;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Cochliodus;sancti-ludovici;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;St. Louis;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Cochliodus;sp.;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;North America;Europe;X;X;X;N;1;1;1;1;1;1;1;N;N;Y
Cochliodus;sp.;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Bristol;Carboniferous Limestone;North America;Europe;X;X;X;N;1;1;1;1;1;1;1;N;N;Y
Cochliodus;sp.;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Keokuk;Keokuk Limestone;North America;Europe;X;X;X;N;1;1;1;1;1;1;1;N;N;Y
Cochliodus;striatus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Cochliodus;tenerrimus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Tournai;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;tenuis;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Tournai;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;triangularis;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Moscovian ;315,2;Moscovian ;307;311,1;N;Myachkovo;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;vanhorni;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Alton;St. Louis limestone;North America;X;X;X;X;N;0;1;1;1;1;0;0;N;N;Y
Cochliodus;vanhorni;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Pella;Pella Beds;North America;X;X;X;X;N;0;1;1;1;1;0;0;N;N;Y
Cochliodus;venukoffi;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Kuznetsk Basin;;Asia;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cranodus;zonatus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Moscovian ;315,2;Moscovian ;307;311,1;N;Myachkovo;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Crassidonta;stuckenbergi;Cochliodontiformes;Cochliodontidae;N;Permian;Kungurian;283,5;Roadian;268,8;276,15;N;Wyoming;Phosphoria;North America;X;X;X;X;N;0;0;0;0;0;1;1;N;N;Y
Crassidonta;subcrenulata;Cochliodontiformes;Cochliodontidae;N;Permian;Artinskian;290,1;Artinskian;283,5;286,8;N;Wandagee Trig;Wandagee ;Australia and Oceania;X;X;X;X;S;0;0;1;1;1;1;0;N;N;Y
Cymatodus;oblongus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Kasimovian;307;Gzhelian;298,9;302,95;N;La Salle;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cyrtonodus;gibbus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Bashkirian;315,2;330,95;N;Wensleydale;Yoredale Rocks;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cyrtonodus;hornei;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Yorkshire;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Deltodus;affinis;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Iowa;Burlington limestone;North America;X;X;X;X;N;0;0;1;1;0;0;0;N;N;Y
Deltodus;alatus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Burlington;Burlington limestone;North America;X;X;X;X;N;0;0;1;1;1;1;1;N;N;Y
Deltodus;alatus;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Winterset;Coal Measures;North America;X;X;X;X;N;0;0;1;1;1;1;1;N;N;Y
Deltodus;alatus;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Warsaw;Keokuk Limestone;North America;X;X;X;X;N;0;0;1;1;1;1;1;N;N;Y
Deltodus;aliformis;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Derbyshire;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Deltodus;angularis;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;Y;Alton;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Deltodus;angularis;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Kasimovian;307;Gzhelian;298,9;302,95;Y;Holiday Park;Glenshaw;North America;X;X;X;X;N;0;0;1;1;1;1;0;N;N;Y
Deltodus;angularis;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Kasimovian;307;Gzhelian;298,9;302,95;Y;Trafford and Ardara;Glenshaw;North America;X;X;X;X;N;0;0;1;1;1;1;0;N;N;Y
Deltodus;angularis;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Kasimovian;307;Gzhelian;298,9;302,95;Y;Glenwood;Glenshaw;North America;X;X;X;X;N;0;0;1;1;1;1;0;N;N;Y
Deltodus;angularis;Cochliodontiformes;Cochliodontidae;Y;Carboniferous;Kasimovian;307;Gzhelian;298,9;302,95;Y;Brilliant Cut-off;Glenshaw;North America;X;X;X;X;N;0;0;1;1;1;1;0;N;N;Y
Deltodus;angustus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Chester;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Deltodus;attenuatus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Bashkirian;323,2;Gzhelian;298,9;311,05;N;Kansas City;Coal Measures;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Deltodus;chouteauensis;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Sedalia;Chouteau Limestone;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;Y
Deltodus;cinctulus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Missouri and Illinois;Warsaw Limestone;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;Y
Deltodus;cinctus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Indiana;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Deltodus;cingulatus;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Chester;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Deltodus;circinans;Cochliodontiformes;Cochliodontidae;N;Carboniferous;Moscovian ;315,2;Moscovian ;307;311,1;N;Myachkovo;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
