COLLECTION,Longitude,Latitude,MID.POINT,GENUS,SPECIES,ORDER,FAMILY,SUBCLASS,GROUP_GINTER,GROUP_GINTER2,TOOTH_PLATE,DUPLICATE,PERIOD,EARLIEST,MAX_DATE,LATEST,MIN_DATE,LAZARUS,FORMATION,CONTINENT.1,CONTINENT.2,CONTINENT.3,CONTINENT.4,CONTINENT.5,HEMISPHERE,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,SCALE_ONLY,FINSPINE_ONLY,TOOTH_ONLY,plng,plat
Lebach,6.9,49.4,298.61,Triodus,sp.,Xenacanthiformes,Xenacanthidae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,N,C - P,Gzhelian,303.7,Asselian,293.52,N,Meisenheim,Europe,X,X,X,X,N,1,0,0,0,0,0,0,N,N,N,23.830158341542333,7.127387295740652
Ledai−179 borehole,24,55.3,406.25,Tareyacanthus,dissectus,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,Y,Devonian,Lochkovian,419.2,Emsian,393.3,N,Stoniskiai,Europe,X,X,X,X,N,0,0,0,1,0,0,0,Y,N,NA,-29.633999957991595,-11.849134245872238
Ledai−179 borehole,24,55.3,408.15,Nostolepis,gracilis,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,Y,Silurian,Pridoli,423,Emsian,393.3,N,Stoniskiai,Europe,North America,Asia,X,,N,0,1,1,1,0,0,0,Y,N,NA,-29.86819301465735,-10.801359212237566
Ledai−179 borehole,24,55.3,408.15,Gomphonchus,sandelensis,Ischnacanthiformes,Ischnacanthidae,Stem,NA,NA,N,Y,S - D,Pridoli,423,Emsian,393.3,N,Stoniskiai,Europe,Australia and Oceania,North America,Asia,X,N/S,0,1,1,1,1,1,0,N,N,NA,-29.86819301465735,-10.801359212237566
Ledai−179 borehole,24,55.3,408.15,Gomphonchus,sandelensis,Ischnacanthiformes,Ischnacanthidae,Stem,NA,NA,N,Y,S - D,Pridoli,423,Emsian,393.3,N,Tilze,Europe,Australia and Oceania,North America,Asia,X,N/S,0,1,1,1,1,1,0,N,N,NA,-29.86819301465735,-10.801359212237566
Ledai−179 borehole,24,55.3,415,Cheiracanthoides,nativus,Incerti_ordinis,Incertae_familiae,Stem,NA,NA,N,Y,Devonian,Lochkovian,419.2,Lochkovian,410.8,N,Stoniskiai,Europe,X,X,X,,N,0,0,0,1,0,0,0,Y,N,NA,-37.25288678329195,-10.85430887949427
Ledai−179 borehole,24,55.3,415,Lietuvacanthus,fossulatus,Ischnacanthiformes,Ischnacanthidae,Stem,NA,NA,N,Y,Devonian,Lochkovian,419.2,Lochkovian,410.8,N,Stoniskiai,Europe,X,X,X,X,N,0,0,0,1,0,0,0,Y,N,NA,-37.25288678329195,-10.85430887949427
Ledai−179 borehole,24,55.3,415,Nostolepis,robusta,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,Y,Devonian,Lochkovian,419.2,Lochkovian,410.8,N,Stoniskiai,Europe,X,X,X,X,N,0,0,0,1,0,0,0,Y,N,NA,-37.25288678329195,-10.85430887949427
Ledai−179 borehole,24,55.3,416.9,Endemolepis,inconstans,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,Y,S - D,Pridoli,423,Lochkovian,410.8,N,Lapes,Europe,X,X,X,,N,0,1,1,1,1,0,0,Y,N,NA,-39.99929276349246,-11.03006355584001
Ledai−179 borehole,24,55.3,421.1,Nostolepis,amplifica,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,N,Silurian,Pridoli,423,Pridoli,419.2,N,Lapes,Europe,X,X,X,,N,0,1,1,1,1,0,0,Y,N,NA,-46.086079785613336,-10.98078939544226
Ledai−179 borehole,24,55.3,421.1,Nostolepis,musca,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,Y,Silurian,Pridoli,423,Pridoli,419.2,N,Lapes,Europe,X,X,X,X,N,0,1,1,1,1,0,0,Y,N,NA,-46.086079785613336,-10.98078939544226
Ledai−179 borehole,24,55.3,421.1,Nostolepis,consueta,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,N,Silurian,Pridoli,423,Pridoli,419.2,N,Lapes,Europe,X,X,X,,N,0,1,1,1,1,0,0,Y,N,NA,-46.086079785613336,-10.98078939544226
Ledai−179 borehole,24,55.3,426.3,Arenaceacanthus,arcuatacanalis,Ischnacanthiformes,Ischnacanthidae,Stem,NA,NA,N,N,Silurian,Sheinwoodian,433.4,Pridoli,419.2,N,Vievis,Europe,X,X,X,X,N,0,1,1,1,1,0,0,Y,N,NA,-53.56059225462511,-10.088977654262898
Ledbury Railway Cutting,-2.4,52,409.45,Onchus ,sp.,Incerti_ordinis,Incertae_familiae,Stem,NA,NA,N,N,Silurian,Ludfordian,425.6,Emsian,393.3,?,Ledbury,Europe,South America,X,X,X,N/S,1,1,1,0,0,0,0,N,Y,NA,-37.101728828750915,-24.49992467146779
Ledbury Railway Cutting,-2.4,52,421.1,Onchus,tenuistriatus,Incerti_ordinis,Incertae_familiae,Stem,NA,NA,N,N,Silurian,Pridoli,423,Pridoli,419.2,N,Ledbury,Europe,X,X,X,X,N,1,1,0,0,0,0,0,N,Y,NA,-56.78327895542828,-23.16473974162283
Leduc,-113.5,53.3,377.45,Persacanthus,sp.,Ischnacanthiformes,Ischnacanthidae,Stem,NA,NA,N,Y,Devonian,Frasnian,382.7,Frasnian,372.2,?,Ireton shale,North America,Asia,X,X,X,N,0,0,0,0,1,1,0,N,N,NA,-69.4775612865039,-5.701871835792699
Leeds,-94.5,39.1,305.35,Cooleyella,peculiaris,Incerti ordinis,Anachronistidae,Elasmobranchii,Euselachii,Elasmobranchii,N,N,Carboniferous,Kasimovian,307,Kasimovian,303.7,N,Cherryvale Shale,North America,X,X,X,X,N,0,1,1,1,1,1,1,N,N,Y,-25.498663526856337,0.8013535099432364
Lehi,-112,40.4,317.2,Utahacanthus,guntheri,Acanthodiiformes,Acanthodidae,Stem,NA,NA,N,N,Carboniferous,Bashkirian,323.2,Bashkirian,315.2,N,Manning Canyon,North America,X,X,X,,N,1,1,1,0,0,0,0,N,N,NA,-35.608760117953274,8.38104864051062
Leigh Cement Co. Quarry,-89.1,41.3,329.4,Petalodus,ohioensis,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Tournaisian,358.9,Gzhelian,298.9,N,McLeansboro,North America,X,X,X,X,N,0,1,1,1,1,1,0,N,N,Y,-26.03052070961901,-2.100101405526135
Leijiatun,108.2,27.6,435.95,Rongolepis,cosmetica,Mongolepidida,Mongolepididae,Stem,NA,?,NA,N,Silurian,Telychian,438.5,Telychian,433.4,N,Xiushan,Asia,X,X,X,X,N,0,1,1,1,0,0,0,Y,N,N,77.66320397077826,-3.2173804443231107
Leijiatun,108.2,27.6,435.95,Chenolepis,asketa,Mongolepidida,Shiqianolepidae ,Stem,NA,?,NA,N,Silurian,Telychian,438.5,Telychian,433.4,N,Xiushan,Asia,X,X,X,X,N,0,1,1,1,0,0,0,Y,N,N,77.66320397077826,-3.2173804443231107
Leijiatun,108.2,27.6,435.95,Shiqianolepis,hollandi,Mongolepidida,Shiqianolepidae ,Stem,NA,?,NA,N,Silurian,Telychian,438.5,Telychian,433.4,N,Xiushan,Asia,X,X,X,X,N,0,1,1,1,0,0,0,Y,N,N,77.66320397077826,-3.2173804443231107
Leijiatun,108.2,27.6,435.95,Xinjiangichthys,sp.,Mongolepidida,Shiqianolepidae ,Stem,NA,?,NA,N,Silurian,Telychian,438.5,Telychian,433.4,N,Xiushan,Asia,X,X,X,X,N,0,0,1,1,0,0,0,Y,N,N,77.66320397077826,-3.2173804443231107
Leijiatun,108.2,27.6,438.6,Sinacanthus,sp.,Sinacanthida,Sinacanthidae,Stem,NA,?,NA,Y,Silurian,Rhuddanian,443.8,Telychian,433.4,N,Xiushan,Asia,X,X,X,X,N,0,1,1,1,0,0,0,N,Y,N,77.27919104258694,-6.147709506847716
Lekeciai-87 core,22.4,55.2,416.9,Pruemolepis,wellsi,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,Y,S - D,Pridoli,423,Lochkovian,410.8,Y,Jura,Europe,X,X,X,X,N,0,1,1,1,1,0,0,Y,N,NA,-40.44320275958693,-11.837768913252605
Lesmahagow,-3.9,55.6,328.9,Gyracanthus ,formosus,Incerti_ordinis,Gyracanthidae,Stem,NA,NA,N,Y,Carboniferous,Tournaisian,358.9,Gzhelian,298.9,?,Coal Measures,Europe,X,X,X,X,N,1,0,0,0,0,0,0,N,Y,NA,9.874231178443575,3.6089042313381383
