COLLECTION,Longitude,Latitude,MID.POINT,GENUS,SPECIES,ORDER,FAMILY,SUBCLASS,GROUP_GINTER,GROUP_GINTER2,TOOTH_PLATE,DUPLICATE,PERIOD,EARLIEST,MAX_DATE,LATEST,MIN_DATE,LAZARUS,FORMATION,CONTINENT.1,CONTINENT.2,CONTINENT.3,CONTINENT.4,CONTINENT.5,HEMISPHERE,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,SCALE_ONLY,FINSPINE_ONLY,TOOTH_ONLY,plng,plat
Abden,-3.2,56.1,334.95,Tristychius,sp.,Incerti ordinis,Incertae familiae,Elasmobranchii,Euselachii,Elasmobranchii,N,Y,Carboniferous,Visean,346.7,Serpukhovian,323.2,N,Abden Bone Bed,Europe,X,X,X,X,N,1,1,0,0,0,0,0,N,N,N,4.794526448996048,1.0459651634348481
Ace Hill Quarry,-95.8,41,298.61,Bobbodus,schaefferi,Eugeneodontiformes,Eugeneodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,C - P,Gzhelian,303.7,Asselian,293.52,Y,Lecompton,North America,X,X,X,X,N,0,0,0,0,0,1,1,N,N,N,-24.767953418098237,4.0351799780506905
Ace Hill Quarry,-95.8,41,301.3,Holmesella,sp.,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Gzhelian,303.7,Gzhelian,298.9,Y,Lecompton,North America,X,X,X,X,N,0,0,0,0,0,1,1,N,N,N,-25.0683227426443,3.486344306232774
Ace Hill Quarry,41,-95.8,301.3,Inioxyele,whitei,Iniopterygia,Sibyrhynchidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Gzhelian,303.7,Gzhelian,298.9,N,Lecompton,North America,X,X,X,X,N,0,0,0,0,0,1,1,N,N,N,NA,NA
Achanarras,-3.5,58.5,376.1,Diplacanthus,sp.,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,Y,Devonian,Eifelian,393.3,Famennian,358.9,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-30.105301281136136,-18.103589260462083
Achanarras,-3.5,58.5,388,Cheiracanthus,grandispinus,Acanthodiiformes,Cheiracanthidae,Stem,NA,NA,N,N,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.95199676752242,-17.551845159165588
Achanarras,-3.5,58.5,388,Mesacanthus,peachi,Acanthodiiformes,Mesacanthidae,Stem,NA,NA,N,Y,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.95199676752242,-17.551845159165588
Achanarras,-3.5,58.5,388,Diplacanthus,crassisimus,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,N,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.95199676752242,-17.551845159165588
Achanarras,-3.5,58.5,388,Cheiracanthus,murchisoni,Acanthodiiformes,Cheiracanthidae,Stem,NA,NA,N,Y,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.95199676752242,-17.551845159165588
Achanarras,-3.5,58.5,388,Diplacanthus,tenuistriatus,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,Y,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.95199676752242,-17.551845159165588
Achanarras,-3.5,58.5,402.85,Ischnacanthus,sp.,Ischnacanthiformes,Ischnacanthidae,Stem,NA,NA,N,N,S - D,Eifelian,393.3,Givetian,388,Y,Middle Old Red Sandstone,Europe,X,X,X,X,N,1,1,0,1,0,0,0,N,N,NA,-42.64122471868844,-22.203409929019323
Achanarras,-3.5,58.5,405.05,Rhadinacanthus (Diplacanthus),longispinus,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,Y,S - D,Gorstian,427.4,Givetian,382.7,NA,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,1,0,0,0,0,N,N,NA,-42.459626459636674,-21.410379712777036
Adams County,-94.7,41,314.9,Chomatodus,arcuatus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Serpukhovian,330.9,Gzhelian,298.9,N,,North America,Europe,X,X,X,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y,-25.15696316525124,0.7725025944002305
Adhiriyah,40.1,30.2,388,Antarctilamna,sp.,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Eifelian,393.3,Givetian,382.7,N,Jubah Sandstone,Asia,X,X,X,X,N,1,0,0,0,0,0,0,N,N,Y,46.500217390666215,-47.18567576062103
Airdrie,-4,55.9,328.9,Gyracanthus ,formosus,Incerti_ordinis,Gyracanthidae,Stem,NA,NA,N,Y,Carboniferous,Tournaisian,358.9,Gzhelian,298.9,?,Coal Measures,Europe,X,X,X,X,N,1,0,0,0,0,0,0,N,Y,NA,9.720476026585768,3.8727744010703185
Akers Valley,-86,37.5,338.8,Psammodus,crassidens,Psammodontiformes,Psammodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-34.93258923387601,-12.904217887149665
Aksu,67.6,38.33,323.05,Gissarodus,flabellatus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Serpukhovian,330.9,Bashkirian,315.2,N,Khodzhir-Bulak,Asia,X,X,X,X,N,0,0,0,0,0,1,1,N,N,Y,NA,NA
Aktasty locality,57.6,50.4,286.8,Helicoprion,bessonowi,Eugeneodontiformes,Helicoprionidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Permian,Artinskian,290.1,Artinskian,283.5,N,Aktasty beds,Asia,X,X,X,X,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y,50.4353847272869,32.30402962906844
Al Murayr,40,30,402.05,Heslerodus,sp.,Ctenacanthiformes,Heslerodidae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,N,N,Devonian,Pragian,410.8,Emsian,393.3,N,Jubah Sandstone,Asia,X,X,X,X,N,1,0,0,0,0,0,0,N,N,Y,45.93361775020923,-43.877836022618396
Al Qalibah region,37.6,28.4,400.45,Laliacanthus,ligeriensis,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,Y,Devonian,Emsian,407.6,Emsian,393.3,N,Jawf,Asia,Europe,X,X,,N,0,1,1,0,1,1,0,Y,N,NA,45.286863987597414,-48.27173582571203
Al Qalibah region,37.6,28.4,400.45,Milesacanthus,ancestralis,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,N,Devonian,Emsian,407.6,Emsian,393.3,N,Jawf,Asia,Africa,X,X,,N/S,0,1,1,1,0,0,0,N,N,NA,45.286863987597414,-48.27173582571203
Al Qalibah region,37.6,28.4,400.45,Wetteldorfia,sp.,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,N,Devonian,Emsian,407.6,Emsian,393.3,N,Jawf,Asia,X,X,X,X,N,0,1,1,0,0,0,0,Y,N,NA,45.286863987597414,-48.27173582571203
Al Qalibah region,37.6,28.4,405.05,Machaeracanthus,sp.,Incerti_ordinis,Machaeracanthidae,Stem,NA,NA,N,Y,S - D,Gorstian,427.4,Givetian,382.7,?,Jawf,Europe,North America,Asia,Africa,X,N/S,0,1,1,1,1,1,1,N,N,NA,43.003293494237205,-42.520401645501394
Al Qalibah region,37.6,28.4,413.4,Nostolepis,costata,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,N,Devonian,Lochkovian,419.2,Pragian,407.6,N,Jawf,Europe,Asia,X,X,,N,0,1,1,0,0,0,0,Y,N,NA,42.76937314972819,-39.838528725825235
Albany,-82.1,39.3,329.4,Peripristis,semicircularis,Petalodontiformes,Pristodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Carboniferous,Tournaisian,358.9,Gzhelian,298.9,N,Brush Creek Limestone,North America,X,X,X,X,N,0,1,1,1,1,1,0,N,N,Y,-22.498847658808028,-6.581473975316455
Albany ls Quarry,-81.5,39.3,322.8,Fissodus,sp.,Petalodontiformes,Janassidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Carboniferous,Visean,346.7,Gzhelian,298.9,N,Albany Limestone,North America,X,X,X,X,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y,-19.08368572902828,-7.0807155646195366
Allegheny Co.,-79.8,40.6,311.05,Campodus,sp.,Eugeneodontiformes,Incertae familiae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Carboniferous,Bashkirian,323.2,Gzhelian,298.9,Y,Glenshaw,North America,X,X,X,X,N,0,0,1,1,1,1,0,N,N,Y,-15.18152241195663,-3.9647660804449307
Alligator Ridge,158.8,-78.5,385.2,Aztecodus,harmsenae,Omalodontiformes,Aztecodontidae,Stem,NA,Elasmobranchii,N,Y,Devonian,Givetian,387.7,Givetian,382.7,N,Aztec Siltstone,Antarctica,X,X,X,X,S,1,0,0,0,0,0,0,N,N,Y,145.91434010975289,-37.4164165547475
Allt Muigh-bhlaraidh,-4.2,57.8,388,Diplacanthus,crassisimus,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,Y,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.92831840148707,-18.342998763480967
Alton,-90.2,38.9,311.1,Edestus,heinrichi,Eugeneodontiformes,Edestidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Carboniferous,Moscovian ,315.2,Moscovian ,307,N,Carbondale,Europe,North America,X,X,X,N,0,1,0,0,0,0,0,N,N,N,-23.11355073217237,-1.9632823101985835
Alton,-90.2,38.9,330.95,Saivodus,striatus,Ctenacanthiformes,Incertae familiae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,Y,Carboniferous,Visean,346.7,Bashkirian,315.2,N,,Europe,North America,X,X,X,N,1,1,1,0,0,0,0,N,N,Y,-29.252077045366292,-4.278570321945506
Alton,-90.2,38.9,334.95,Harpacanthus,fimbriatus,Incerti ordinis,Harpacanthidae,?,NA,NA,,Y,Carboniferous,Visean,346.7,Serpukhovian,323.2,N,St. Louis limestone,Europe,North America,X,X,X,N,1,1,1,1,1,0,0,N,N,N,-33.11200977305714,-7.176676769947257
Alton,-90.2,38.9,338.8,Acondylacanthus,gracillimus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Cochliodus,sancti-ludovici,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Petalorhynchus,spatulatus,Petalodontiformes,Pristodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,1,1,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Sandalodus,laevissimus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,1,1,1,1,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Tanaodus,sculptus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Tanaodus,praenuntius,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,1,1,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Sandalodus,parvulus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Lambdodus,transversus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Janassa,sp.,Petalodontiformes,Janassidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Cladodus,elegans,Ctenacanthiformes,Ctenacanthidae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,Y,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,Europe,North America,X,X,X,N,0,1,1,1,1,0,0,N,N,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Polyrhizodus,amplus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Helodus,politus,Helodontiformes,Helodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,1,1,1,1,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Tanaodus,sublunatus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Tanaodus,pumilis,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,1,1,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Deltodus,angularis,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,Y,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Psammodus,plenus,Psammodontiformes,Psammodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Desmiodus,costelliferus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Chomatodus,insignis,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Eunemacanthus,costatus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Asteroptychius,gracilis,Ctenacanthiformes,Incertae familiae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Asteroptychius,sancti-ludovici,Ctenacanthiformes,Incertae familiae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Polyrhizodus,concavus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,Y,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Amacanthus,gibbosus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Polyrhizodus,princeps,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Petalorhynchus,pseudosagittatus,Petalodontiformes,Pristodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,Y,St. Louis limestone,North America,X,X,X,X,N,0,1,1,1,1,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Copodus,vanhorni,Copodontiformes,Copodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Chitonodus,livatus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Petalodus,hybridus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Cladodus,vanhornei,Ctenacanthiformes,Ctenacanthidae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,N,Carboniferous,Visean,346.7,Visean,330.9,N,,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Cochliodus,vanhorni,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,1,1,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Asteroptychius,pugiunculus,Ctenacanthiformes,Incertae familiae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Chomatodus,incrassatus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Bythiacanthus,vanhornei,Ctenacanthiformes,Heslerodidae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Asteroptychius,sp.,Ctenacanthiformes,Incertae familiae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,Y,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,Europe,North America,X,X,X,N,1,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Petalorhynchus,distortus,Petalodontiformes,Pristodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Polyrhizodus,littoni,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Polyrhizodus,digitatus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,Y,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Petalodus,ellipticus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Sandalodus,crassus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Psammodus,crassidens,Psammodontiformes,Psammodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Polyrhizodus,rectus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Erismacanthus,maccoyanus,Menaspiformes,Incertae familiae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Deltodus,rhomboideus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Physonemus,reversus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Marracanthus,rectus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,N,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,338.8,Desmiodus,tumidus,Incerti ordinis,Incertae familiae,?,NA,NA,,Y,Carboniferous,Visean,346.7,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,N,Y,-36.90510333318976,-9.885512195931575
Alton,-90.2,38.9,344.9,Oracanthus,vetustus,Incerti_ordinis,Gyracanthidae,Stem,NA,NA,N,Y,Carboniferous,Tournaisian,358.9,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,NA,-44.59511180612207,-15.946182064066432
Alton,-90.2,38.9,345.4,Helodus,coniculus,Helodontiformes,Helodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Carboniferous,Tournaisian,358.9,Visean,330.9,N,Warsaw Limestone,North America,Asia,X,X,X,N,0,1,1,1,1,1,1,N,N,Y,-45.279080922531264,-16.463946593406128
Alton,-90.2,38.9,345.4,Helodus,angulatus,Helodontiformes,Helodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Tournaisian,358.9,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,0,1,1,1,1,1,1,N,N,Y,-45.279080922531264,-16.463946593406128
Alton,-90.2,38.9,345.4,Bythiacanthus,siderius,Ctenacanthiformes,Heslerodidae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,Y,Carboniferous,Tournaisian,358.9,Visean,330.9,N,St. Louis limestone,North America,X,X,X,X,N,1,1,1,0,0,0,0,N,Y,N,-45.279080922531264,-16.463946593406128
Alton,-90.2,38.9,345.4,Orodus,mammillaris,Orodontiformes,Orodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Carboniferous,Tournaisian,358.9,Visean,330.9,N,St. Louis limestone,Europe,North America,X,X,X,N,1,1,1,1,1,1,1,N,N,Y,-45.279080922531264,-16.463946593406128
Alton,-90.2,38.9,352.8,Psammodus,glyptus,Psammodontiformes,Psammodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Tournaisian,358.9,Tournaisian,346.7,N,Burlington limestone,North America,X,X,X,X,N,0,0,1,1,0,0,0,N,N,Y,-54.65047699638175,-22.28476370637495
Amherst,-82.2,41.4,347.7,Orodus,sp.,Orodontiformes,Orodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,D - C,Famennian,372.2,Serpukhovian,323.2,Y,Cleveland Shale,Europe,North America,Asia,X,X,N,1,1,1,1,1,1,1,N,N,Y,-41.66827917871483,-20.323155610254258
An der Loh quarry,7.2,51,377.45,Protogonacanthus,juergeni,Acanthodiiformes,Cheiracanthidae,Stem,NA,NA,N,N,Devonian,Frasnian,382.7,Frasnian,372.2,N,Upper Plattenkalk,Europe,X,X,X,,N,0,1,1,0,0,0,0,N,N,NA,-20.87068305592957,-21.003313402270607
