GENUS;SPECIES;ORDER;FAMILY;SUBCLASS;GROUP_GINTER;GROUP_GINTER2;TOOTH_PLATE;SCM1;SCM2;SCM_average;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Wolf Creek;Lueders;North America;X;X;X;X;N;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Spring Creek;Lueders;North America;X;X;X;X;N;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;West Franklin Bend;Lueders;North America;X;X;X;X;N;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Jefferson County;Dunkard Basin;North America;X;X;X;X;N;1;1;0;0;0;0;0;N;N;Y
Bransonella;cf. nebraskensis;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Shahmirzad village;Mobarak;Asia;X;X;X;X;N;0;0;0;1;1;0;0;N;N;Y
Bransonella;lingulata;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;N;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;Y;Kalinovskie Vyselki Quarry;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Bransonella;lingulata;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;N;Carboniferous;Moscovian;315,2;Moscovian;307;311,1;Y;Buckhorn Asphalt Quarry;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Bransonella;nebraskensis;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;Y;Kozhim River;;Europe;Asia;X;X;X;N;0;0;0;0;0;1;1;N;N;Y
Bransonella;nebraskensis;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;Y;Todowa Grzaba;;Europe;Asia;X;X;X;N;0;0;0;0;0;1;1;N;N;Y
Bransonella;nebraskensis;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;N;Carboniferous;Gzhelian;303,7;Gzhelian;298,9;301,3;Y;Nemaha County;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
