GENUS,SPECIES,ORDER,FAMILY,SUBCLASS,GROUP_GINTER,GROUP_GINTER2,TOOTH_PLATE,DUPLICATE,PERIOD,EARLIEST,MAX_DATE,LATEST,MIN_DATE,MID POINT,LAZARUS,COLLECTION,FORMATION,Latitude,Longitude,CONTINENT,HEMISPHERE,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,SCALE_ONLY,FINSPINE_ONLY,TOOTH_ONLY
Barbclabornia,luedersensis,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,Y,Permian,Asselian,298.9,Artinskian,283.5,291.2,N,Wolf Creek,Lueders,33.4,-99.4,North America,N,1,1,0,0,0,0,0,N,N,Y
Barbclabornia,luedersensis,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,Y,Permian,Asselian,298.9,Artinskian,283.5,291.2,N,Spring Creek,Lueders,33,-99.7,North America,N,1,1,0,0,0,0,0,N,N,Y
Barbclabornia,luedersensis,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,Y,Permian,Asselian,298.9,Artinskian,283.5,291.2,N,West Franklin Bend,Lueders,33.8,-99.1,North America,N,1,1,0,0,0,0,0,N,N,Y
Barbclabornia,luedersensis,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,Y,Permian,Asselian,298.9,Artinskian,283.5,291.2,N,Jefferson County,Dunkard Basin,39.8,-80,North America,N,1,1,0,0,0,0,0,N,N,Y
Bransonella,cf. nebraskensis,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,N,Carboniferous,Tournaisian,358.9,Tournaisian,346.7,352.8,N,Shahmirzad village,Mobarak,35.8,53.3,Asia,N,0,0,0,1,1,0,0,N,N,Y
Bransonella,lingulata,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,N,Carboniferous,Serpukhovian,330.9,Serpukhovian,323.2,327.05,Y,Kalinovskie Vyselki Quarry,,54.9,37.3,Europe,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Bransonella,lingulata,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,N,Carboniferous,Moscovian,315.2,Moscovian,307,311.1,Y,Buckhorn Asphalt Quarry,,34.4,-97,North America,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Bransonella,nebraskensis,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,Y,Kozhim River,,65.8,59.3,Asia,N,0,0,0,0,0,1,1,N,N,Y
Bransonella,nebraskensis,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,Y,Carboniferous,Visean,346.7,Visean,330.9,338.8,Y,Todowa Grzaba,,50.8,20.1,Europe,N,0,0,0,0,0,1,1,N,N,Y
Bransonella,nebraskensis,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,N,Carboniferous,Gzhelian,303.7,Gzhelian,298.9,301.3,Y,Nemaha County,,40.4,-95.9,North America,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
